Framework,Metric,Click Duration (ms),Render During Click (ms),Render After Click (ms),Total Duration (ms)
web-component,"No timing found for ""update-k""",0,0,0,0
web-component,"No timing found for ""update-ten-k""",0,0,0,0
rust-wasm,update-k,1.3521666666666667,0,5.9463333333333335,7.2985
es-next,update-k,0.8926666666666666,0,6.978166666666667,7.870833333333333
es-next,clear-k,9.044666666666666,0,0.45616666666666666,9.500833333333334
web-component,clear-k,9.068333333333333,0,0.5215,9.589833333333335
rust-wasm,clear-k,9.302333333333333,0,0.5466666666666666,9.849
rust-fel,clear-k,9.476833333333333,0,0.575,10.051833333333335
rust-fel,update-k,3.8841666666666663,0,6.856666666666667,10.740833333333335
vue,clear-k,11.433666666666666,0,0.5643333333333334,11.998
react,clear-k,11.997,0,0.7024,12.699399999999999
vue,update-k,26.066333333333333,0,7.149666666666667,33.216
react,update-k,23.827333333333332,0,10.2425,34.069833333333335
es-next,update-ten-k,5.481666666666667,0,56.4465,61.92816666666666
es-next,k,6.9915,0,64.40483333333333,71.39633333333333
web-component,k,6.301166666666667,0,66.56566666666667,72.86683333333333
rust-wasm,update-ten-k,8.095333333333333,0,68.80166666666668,76.897
rust-wasm,k,23.308666666666667,0,64.482,87.79066666666667
es-next,clear-ten-k,96.248,0,0.6025,96.8505
rust-wasm,clear-ten-k,96.82866666666668,0,0.5961666666666666,97.42483333333332
react,k,33.574,0,63.9845,97.5585
web-component,clear-ten-k,98.7155,0,0.5701666666666666,99.28566666666667
rust-fel,clear-ten-k,99.67083333333333,0,0.6545,100.32533333333333
vue,k,39.12466666666666,0,64.21316666666667,103.33783333333332
react,clear-ten-k,105.09960000000001,0,0.5842,105.6838
rust-fel,k,40.83983333333334,0,65.67733333333332,106.51716666666667
vue,clear-ten-k,107.098,0,0.606,107.704
rust-fel,update-ten-k,34.7805,0,102.99833333333333,137.77883333333335
vue,update-ten-k,111.655,0,66.57633333333332,178.23133333333334
react,update-ten-k,101.942,0,100.354,202.296
web-component,ten-k,55.1855,0,629.3051666666667,684.4906666666666
es-next,ten-k,62.2595,0,625.106,687.3655
react,ten-k,136.33283333333335,0,637.5863333333334,773.9191666666667
rust-wasm,ten-k,152.72416666666666,0,640.4205,793.1446666666666
vue,ten-k,167.68766666666664,0,630.6355,798.3231666666667
rust-fel,ten-k,339.2115,0,648.0145,987.226
